"archive_path","original_sha256","public_destination","hpc_root_replacements","windows_root_replacements","author_tag_replacements","total_replacements","historical_header_added","sanitized_sha256","syntax_validation_status","maintained_status"
"PDARTS/Github/master/01_skin_csv_dataset.py","f7051fc49578082670f2efbc8c9433830d1a0fe60ba8e163c9a8abdf002c5780","reference_implementations/historical/data/01_skin_csv_dataset.py","0","1","1","2","true","62e48f6183d3f37ab69452abc95a96d715fdc1125f508149d9c7850f394ef91f","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/Github/master/02_skin_transforms.py","71247518dee340a8b0525261a3413c66fb8ef41c9bc79750a1c0ffa2a2ed8a60","reference_implementations/historical/data/02_skin_transforms.py","0","0","1","1","true","a2ea41a789a31c6c3eec3a4feea37ff42a60d7a5048bf4e0dd74a09ff6c25344","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/Github/master/03_run_search_skin.py","ba0298a3bd487cbcbb69ee2601d742df070b395ccfd217e6bbd80ced2a897a54","reference_implementations/historical/search/03_run_search_skin.py","3","0","1","4","true","cb04d2445ed6b04a61c6fb24d58e27eb2487097d94ccfa58f3bf4b99d8258716","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/Github/master/03_run_search_skinTask2 - Copy.py","3ffc46eac9bb9bbe7be657c21a37814a52b97b0e64b334cc2ec5627bd2099379","reference_implementations/historical/search/03_run_search_skinTask2 - Copy.py","3","0","1","4","true","edd407a4e11e589a2b04d753f5d75af4ab30d39bc185a5613353b591df7b59af","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/Github/master/03_run_search_skinTask2.py","668ce3caa6417b79a3f64334fd228c24afb8b4e8bd08af0b5c3823b6a349ecb1","reference_implementations/historical/search/03_run_search_skinTask2.py","3","0","1","4","true","25380ad3ddcdb97dc8412256299bb0e48cd74e0537ed6a8aa9210ead379e33ee","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/Github/master/04_multieval_genotype_skin.py","8360ff3d53d402b0910b635a9a93c8ca2eab7d522a6a3b81740869de7166b3ba","reference_implementations/historical/evaluation/04_multieval_genotype_skin.py","5","0","0","5","true","e5888fd5a77011256dced51c75a59b43ca4ae0f05a277a88b5fd5c18035a5fef","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/Github/master/04_multieval_genotype_skin_g0allm.py","ee940e2f51bcb251af5f8ac11c7dae98871c1d554b77f40c92d3c5d445c65c27","reference_implementations/historical/evaluation/04_multieval_genotype_skin_g0allm.py","5","0","1","6","true","842ccb5f260ad0f77e5225cfd29e51cffdf7d1b80a89e22e52260c7cd6dd0574","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/Github/master/04_multieval_genotype_skinaallinone.py","7fe2c4322fe5ce0121fc2514b6a017ea9560552db139f1ff176de13f2c1be756","reference_implementations/historical/evaluation/04_multieval_genotype_skinaallinone.py","5","0","0","5","true","629b4b8da7f8e329b9d0cb97dc885cf49be0d90393932e42747b0c0e028f63a7","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/Github/master/04_OnenSevenmTwodataset.py","87ea0847ad23ba0e7b8aedde3cae942dad6ef36591754a38389dd977546dc937","reference_implementations/historical/evaluation/04_OnenSevenmTwodataset.py","10","0","1","11","true","3017c238eb10a17f8bad9f8fa85eda91381b99840dcae8cc572b7068ca22bbe3","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/Github/master/Derma_split.py","ddb6457198c71204f6652e86c180bf861d86fafde054fecba2d23b11e9642618","reference_implementations/historical/data/Derma_split.py","3","0","1","4","true","955872dcd8fbe182fda164f36b87fcd9316dc76eacf6545e629b594a9020b747","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/Github/master/skin_csv_dataset.py","d7f8ee22e2ce94c23fe9e784b3384ae4a03d4d329540918e33ab8e45340f669b","reference_implementations/historical/data/skin_csv_dataset.py","0","0","0","0","true","b3904ea7e0a27448210096ea2676ceced80e635704a366c377b7c4b05ad8d9ec","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/Github/master/skin_transforms.py","dbcd25375c81220a8c7b8fce966a662aaaa09160112f5dee344771f8d7874acd","reference_implementations/historical/data/skin_transforms.py","0","0","0","0","true","570d8df785158b6a7ba333fd9f13fde65342b2cf4fe1aa3439c71ec81c72bd95","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/Github/master/splits.py","2dc6bea51e05b587ed5df858049234858f986c0d9618942dbcc03323a4b81827","reference_implementations/historical/data/splits.py","3","0","1","4","true","8f9f39860fb6f9415590a868c05db559395dac002c67789005b1390bdff94d0f","deferred_python_runtime_unavailable","historical_reference_only"
"PDARTS/split to classes.py","ce8298ca4c4e4a2c75d73cb8bb7d892dd46e54008a96f9fa3edab49bbb271997","reference_implementations/historical/data/split to classes.py","0","3","1","4","true","56212779fe5cc0181bad4f457613d60c12c5e3fe8547ddfe6c0a5cf547b85094","deferred_python_runtime_unavailable","historical_reference_only"
