"archive_path","candidate_kind","sha256","batch1_classification","preliminary_source_role","nested_comparison_status","matched_inner_paths","final_disposition","public_destination","release_transformation","maintained_relationship","decision_basis","approval_status"
"PDARTS/Github/master/01_skin_csv_dataset.py","python_source","f7051fc49578082670f2efbc8c9433830d1a0fe60ba8e163c9a8abdf002c5780","MIGRATE_TO_MAINTAINED","data_loading","exact_same_basename_and_sha256","pdarts-master/01_skin_csv_dataset.py","PUBLISH_AS_HISTORICAL","reference_implementations/historical/data/01_skin_csv_dataset.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
"PDARTS/Github/master/02_skin_transforms.py","python_source","71247518dee340a8b0525261a3413c66fb8ef41c9bc79750a1c0ffa2a2ed8a60","MIGRATE_TO_MAINTAINED","general_or_unresolved_source","exact_same_basename_and_sha256","pdarts-master/02_skin_transforms.py","PUBLISH_AS_HISTORICAL","reference_implementations/historical/data/02_skin_transforms.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
"PDARTS/Github/master/03_run_search_skin.py","python_source","ba0298a3bd487cbcbb69ee2601d742df070b395ccfd217e6bbd80ced2a897a54","MIGRATE_TO_MAINTAINED","architecture_search","no_nested_python_match","","PUBLISH_AS_HISTORICAL","reference_implementations/historical/search/03_run_search_skin.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
"PDARTS/Github/master/03_run_search_skinTask2 - Copy.py","python_source","3ffc46eac9bb9bbe7be657c21a37814a52b97b0e64b334cc2ec5627bd2099379","MIGRATE_TO_MAINTAINED","architecture_search","no_nested_python_match","","PUBLISH_AS_HISTORICAL","reference_implementations/historical/search/03_run_search_skinTask2 - Copy.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
"PDARTS/Github/master/03_run_search_skinTask2.py","python_source","668ce3caa6417b79a3f64334fd228c24afb8b4e8bd08af0b5c3823b6a349ecb1","MIGRATE_TO_MAINTAINED","architecture_search","no_nested_python_match","","PUBLISH_AS_HISTORICAL","reference_implementations/historical/search/03_run_search_skinTask2.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
"PDARTS/Github/master/04_multieval_genotype_skin.py","python_source","8360ff3d53d402b0910b635a9a93c8ca2eab7d522a6a3b81740869de7166b3ba","MIGRATE_TO_MAINTAINED","architecture_evaluation","no_nested_python_match","","PUBLISH_AS_HISTORICAL","reference_implementations/historical/evaluation/04_multieval_genotype_skin.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
"PDARTS/Github/master/04_multieval_genotype_skin_g0allm.py","python_source","ee940e2f51bcb251af5f8ac11c7dae98871c1d554b77f40c92d3c5d445c65c27","MIGRATE_TO_MAINTAINED","architecture_evaluation","no_nested_python_match","","PUBLISH_AS_HISTORICAL","reference_implementations/historical/evaluation/04_multieval_genotype_skin_g0allm.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
"PDARTS/Github/master/04_multieval_genotype_skinaallinone.py","python_source","7fe2c4322fe5ce0121fc2514b6a017ea9560552db139f1ff176de13f2c1be756","MIGRATE_TO_MAINTAINED","architecture_evaluation","no_nested_python_match","","PUBLISH_AS_HISTORICAL","reference_implementations/historical/evaluation/04_multieval_genotype_skinaallinone.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
"PDARTS/Github/master/04_OnenSevenmTwodataset.py","python_source","87ea0847ad23ba0e7b8aedde3cae942dad6ef36591754a38389dd977546dc937","MIGRATE_TO_MAINTAINED","data_loading","no_nested_python_match","","PUBLISH_AS_HISTORICAL","reference_implementations/historical/evaluation/04_OnenSevenmTwodataset.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
"PDARTS/Github/master/Derma_split.py","python_source","ddb6457198c71204f6652e86c180bf861d86fafde054fecba2d23b11e9642618","MIGRATE_TO_MAINTAINED","general_or_unresolved_source","no_nested_python_match","","PUBLISH_AS_HISTORICAL","reference_implementations/historical/data/Derma_split.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
